course_code,course_title,course_units,requisite,section,component,class_num,avail_status,Avail.,availability,open_seat,avail_seat,waitlist,day,time,start_time,end_time,location,instructor,Begin/End Dates
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,222,Lab,9891,O,Open23/25,23/25,23,25,,W,12:50PM-2:40PM,12:50 PM,2:40 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,223,Lab,9892,O,Open23/25,23/25,23,25,,W,3:00PM-4:50PM,3:00 PM,4:50 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,224,Lab,9893,O,Open25/25,25/25,25,25,,W,5:20PM-7:10PM,5:20 PM,7:10 PM,1221 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,231,Lab,9882,O,Open27/30,27/30,27,30,,,TBD,TBD,TBD,,"Heckman,Sarah Smith",08/22/22 - 12/05/22
216,Software Development Fundamentals Lab,1,Prerequisite: CSC 116 with a C or better; Corequisites: CSC 216,601,Lab,10073,O,Open40/40,40/40,40,40,,,TBD,TBD,TBD,Distance Education - Online,"Heckman,Sarah SmithTetterton,James C",08/22/22 - 12/05/22
226,Discrete Mathematics for Computer Scientists,3,"Propositional logic and predicate calculus. Logic gates and circuits. Methods of proof. Mathematical induction. Recursive definitions and functions. Solving recurrences. Asymptotic growth of functions. Elementary combinatorics and probability. Introduction to graph theory. Binary relations, including posets and equivalence relations. This course assumes knowledge of topics covered in high-school Algebra I and II. Most seats reserved for CSC and CPE majors and Computer Programming minors.",1,Lec,1922,O,Open168/200,168/200,168,200,,M/W,11:45AM-1:00PM,11:45 AM,1:00 PM,1025 Engineering Building 2,"Barnes,Tiffany M",08/22/22 - 12/05/22
226,Discrete Mathematics for Computer Scientists,3,"Propositional logic and predicate calculus. Logic gates and circuits. Methods of proof. Mathematical induction. Recursive definitions and functions. Solving recurrences. Asymptotic growth of functions. Elementary combinatorics and probability. Introduction to graph theory. Binary relations, including posets and equivalence relations. This course assumes knowledge of topics covered in high-school Algebra I and II. Most seats reserved for CSC and CPE majors and Computer Programming minors.",2,Lec,1923,O,Open175/200,175/200,175,200,,M/W,1:30PM-2:45PM,1:30 PM,2:45 PM,1025 Engineering Building 2,"Barnes,Tiffany M",08/22/22 - 12/05/22
226,Discrete Mathematics for Computer Scientists,3,"Propositional logic and predicate calculus. Logic gates and circuits. Methods of proof. Mathematical induction. Recursive definitions and functions. Solving recurrences. Asymptotic growth of functions. Elementary combinatorics and probability. Introduction to graph theory. Binary relations, including posets and equivalence relations. This course assumes knowledge of topics covered in high-school Algebra I and II. Most seats reserved for CSC and CPE majors and Computer Programming minors.",601,Lec,1924,O,Open40/40,40/40,40,40,,,TBD,TBD,TBD,Distance Education - Online,"Watkins,Alan W",08/22/22 - 12/05/22
230,C and Software Tools,3,Prerequisite: CSC 216 with a C or better.,1,Lec,1925,O,Open51/100,51/100,51,100,,M/W,3:00PM-4:15PM,3:00 PM,4:15 PM,1025 Engineering Building 2,"Sturgill,David Brian",08/22/22 - 12/05/22
230,C and Software Tools,3,Prerequisite: CSC 216 with a C or better.,2,Lec,8527,O,Open55/100,55/100,55,100,,T/Th,3:00PM-4:15PM,3:00 PM,4:15 PM,1103 James B Hunt Jr Centenni,"Balik,Suzanne M",08/22/22 - 12/05/22
230,C and Software Tools,3,Prerequisite: CSC 216 with a C or better.,601,Lec,4748,O,Open35/35,35/35,35,35,,,TBD,TBD,TBD,Distance Education - Online,"Sturgill,David Brian",08/22/22 - 12/05/22
236,Computer Organization and Assembly Language for Computer Scientists,3,Prerequisite: CSC 230 or ECE 209,1,Lec,1926,O,Open20/60,20/60,20,60,,T/Th,4:30PM-5:45PM,4:30 PM,5:45 PM,1005 Engineering Building I,Staff,08/22/22 - 12/05/22
246,Concepts and Facilities of Operating Systems for Computer Scientists,3,Prerequisite: CSC 230 or ECE 209,1,Lec,1928,O,Open51/100,51/100,51,100,,M/W,4:30PM-5:45PM,4:30 PM,5:45 PM,1231 Engineering Building 2,"Jiao,Shuyin",08/22/22 - 12/05/22
246,Concepts and Facilities of Operating Systems for Computer Scientists,3,Prerequisite: CSC 230 or ECE 209,2,Lec,7421,O,Open27/100,27/100,27,100,,T/Th,3:00PM-4:15PM,3:00 PM,4:15 PM,1011 Engineering Building I,"Sturgill,David Brian",08/22/22 - 12/05/22
246,Concepts and Facilities of Operating Systems for Computer Scientists,3,Prerequisite: CSC 230 or ECE 209,601,Lec,1929,O,Open30/30,30/30,30,30,,,TBD,TBD,TBD,Distance Education - Online,"Watkins,Alan W",08/22/22 - 12/05/22
295,Special Topics in Computer Science,3,Special topics in CSC at the early undergraduate level.,1,Lec,4119,O,Open10/10,10-10,10,10,,M,5:20PM-7:10PM,5:20 PM,7:10 PM,1010 Engineering Building I,"Sturgill,David Brian",08/22/22 - 12/05/22
295,Special Topics in Computer Science,3,Special topics in CSC at the early undergraduate level.,4,Lec,11358,O,Open26/30,26/30,26,30,,F,3:00PM-4:15PM,3:00 PM,4:15 PM,1220 Engineering Building 2,"Heckman,Sarah Smith",08/22/22 - 12/05/22
297,Cybersecurity Topics,1,"Introductory cybersecurity topics that may cover areas like cybersecurity policy, law, attacks and defenses, ethics, forensics, social engineering, usability, or privacy. Topics will vary by section and semester. Course may be taken multiple times only if topic is different.",1,Lec,10662,O,Open32/45,32/45,32,45,,F,3:00PM-3:50PM,3:00 PM,3:50 PM,1226 Engineering Building 2,"Crume PhD,Jeff",08/22/22 - 12/05/22
297,Cybersecurity Topics,1,"Introductory cybersecurity topics that may cover areas like cybersecurity policy, law, attacks and defenses, ethics, forensics, social engineering, usability, or privacy. Topics will vary by section and semester. Course may be taken multiple times only if topic is different.",2,Lec,10663,R,Reserved3/30,03-30,3,30,,W,4:30PM-5:20PM,4:30 PM,5:20 PM,1010 Engineering Building I,"Heckman,Sarah Smith",08/22/22 - 12/05/22
